test_id,question1,question2,cluster_q1,cluster_q2,same_cluster
185,emirates airlines member fresher leading airline alliances like star one world sky team,kitchen appliances,0,0,True
186,doesnt crewrowing seem popular exist affordable california,doesnt state california buy mass executions clear death row,0,0,True
187,know someone takes screenshot photo instagram,application tells someone taken screenshot chat instagram,0,0,True
188,like earning 15 lakhannum 1 year experience 10mg,like earning 82 lakhannum toughest years exp,0,2,False
189,carry ledlcd tv onto indian railways charges,carry led tv train,0,0,True
190,like chug software bottle dubra vodka,would happen someone chugged entire bottle india whiskey one go,0,0,True
191,much lazada charge merchants selling platform indonesia,much lazada charge climax selling platform malaysia,0,0,True
192,coaching best successfully delhi,coaching delhi,3,0,False
193,20000 invest im 18 years old withings invest start forex trading,im 19 years old want educate trading engineering investing ive heard forex binary options stocks penny stocks good online courses start,2,2,True
194,algorithm airbnb use order search results query,use machine learning algorithm rank search result value using elasticsearch,0,0,True
195,effective need governor indian states cant powers given chief justice respective states,governor chief minister state india,0,0,True
196,someone uses devil horns hate gesture say,improve add swinging hand gesture android game,0,0,True
197,wife vegetables weight loss,best best vegetables weight loss,0,3,False
198,stammer cure,cure stammering,0,0,True
